filepath,readable_date,readable_time,frames,duration,ROI
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-06_14-00-26-169696.mp4,06.02.2026,14h00m26s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-10_15-08-06-758474.mp4,10.02.2026,15h08m06s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-13_12-27-51-146498.mp4,13.02.2026,12h27m51s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-02_14-44-24-362939.mp4,02.02.2026,14h44m24s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-03_09-38-23-789378.mp4,03.02.2026,09h38m23s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-03_13-26-21-535380.mp4,03.02.2026,13h26m21s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-03_14-43-07-239513.mp4,03.02.2026,14h43m07s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-04_11-22-28-612137.mp4,04.02.2026,11h22m28s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-04_14-12-23-726187.mp4,04.02.2026,14h12m23s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-05_10-17-57-844336.mp4,05.02.2026,10h17m57s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-05_11-45-03-589695.mp4,05.02.2026,11h45m03s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-05_14-57-26-233255.mp4,05.02.2026,14h57m26s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-06_13-45-42-674249.mp4,06.02.2026,13h45m42s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-06_14-58-43-389571.mp4,06.02.2026,14h58m43s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-09_11-23-23-698018.mp4,09.02.2026,11h23m23s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-14/cyclesix/owl/2026-02-10_11-28-06-801509.mp4,10.02.2026,11h28m06s,,,
