filepath	readable_date	readable_time	status_website	login	submitted	tentativas	qualtrics	comments
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260204_164520.mp4	04.02.2026	16h45m20s	online	31	1	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260206_135318.mp4	06.02.2026	13h53m18s	online	98	1	2	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260206_145436.mp4	06.02.2026	14h54m36s	online	69	1	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260210_110826.mp4	10.02.2026	11h08m26s	online	141	1	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260210_150338.mp4	10.02.2026	15h03m38s	online	124	1	2	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260211_104138.mp4	11.02.2026	10h41m38s	online	132	1	2	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260213_122236.mp4	13.02.2026	12h22m36s	online	131	1	2	1	submitted but didn't explore emissions before filling out quatrics
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/cyclesix_screen_20260203_095626.mp4	03.02.2026	09h56m26s	online	22	1	1	1	proper side by side qualtrics and cyclesix, consulted google for portugal-wise estimations
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/cyclesix_screen_20260203_132523.mp4	03.02.2026	13h25m23s	online	25	0	5	1	filled out cyclesix teice. the first time, submission failed twice and they lost track of the page, repeated, and then after filling out the calculator again, submission still failed
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/cyclesix_screen_20260203_145929.mp4	03.02.2026	14h59m29s	online	20	0	2	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/cyclesix_screen_20260203_161239.mp4	03.02.2026	16h12m39s	online	24	0	1	1	used chatgpt for estimates
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/cyclesix_screen_20260204_110840.mp4	04.02.2026	11h08m40s	online	64	0	4	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/cyclesix_screen_20260204_130418.mp4	04.02.2026	13h04m18s	online	81 after 131 didn't work	1	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/cyclesix_screen_20260204_141008.mp4	04.02.2026	14h10m08s	online	37	0	2	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/cyclesix_screen_20260204_161454.mp4	04.02.2026	16h14m54s	online	7	0	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/cyclesix_screen_20260205_102245.mp4	05.02.2026	10h22m45s	online	89	1	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/cyclesix_screen_20260205_113520.mp4	05.02.2026	11h35m20s	online	97	1	1	1	
